name,type,category,power,accuracy,pp,description,move_page_desc,makes_contact,introduced,priority
Alluring Voice,Fairy,Special,80,100,10,,The user attacks the target using its angelic voice. This also confuses the target if its stats have been boosted during the turn.,No,9,0
Ally Switch,Psychic,Status,0,0,15,User switches with opposite teammate.,"Ally Switchswaps the user with its teammate. In triple battles the user must be on either end, not in the middle.",No,5,2
Amnesia,Psychic,Status,0,0,20,Sharply raises user's Special Defense.,Amnesiaraises the user's Special Defense by two stages.,No,1,0
Anchor Shot,Steel,Physical,80,100,20,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,"The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.Z-Move effectsWhen a Pokémon is holdingSteelium Zand uses its Z-Power,Anchor Shotturns intoCorkscrew Crashand has base power160.",Yes,7,0
Ancient Power,Rock,Special,60,100,5,May raise all user's stats at once.,"Ancient Powerdeals damage and has a 10% chance of raising all the user's stats at once - Attack, Defense, Special Attack, Special Defense and Speed - by one stage each.",No,2,0
Apple Acid,Grass,Special,80,100,10,Lowers target's Special Defense.,Lowers target's Special Defense.							(100% chance),No,8,0
Aqua Cutter,Water,Physical,70,100,20,High critical hit ratio.,Aqua Cutterdeals damage and has an increased critical-hit ratio.,No,9,0
Aqua Jet,Water,Physical,40,100,20,User attacks first.,Aqua Jetdeals damage and has a priority of +1.,Yes,4,1
Aqua Ring,Water,Status,0,0,20,Restores a little HP each turn.,"The user ofAqua Ringsurrounds itself with a veil of water,which restores1⁄16of its maximum HP at the end of each turn.",No,4,0
Aqua Step,Water,Physical,80,100,10,Raises user's Speed.,Raises user's Speed.							(100% chance),Yes,9,0
Aqua Tail,Water,Physical,90,90,10,,Aqua Taildeals damage with no additional effect.,Yes,4,0
Arm Thrust,Fighting,Physical,15,100,20,Hits 2-5 times in one turn.,"Arm Thrusthits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.",Yes,3,0
Armor Cannon,Fire,Special,120,100,5,Lowers user's Defense and Special Defense.,"Armor Cannondeals damage, but lowers the user's Defense and Special Defense stats by one stage each after attacking.",No,9,0
Aromatherapy,Grass,Status,0,0,5,Cures all status problems in your party.,"Cures all status problems in your party.Z-Move effectsWhen a Pokémon is holdingGrassium Zand uses its Z-Power,Aromatherapyturns intoZ-Aromatherapyand fully restores the user's HP, in addition to its usual effect as above.",No,3,0
Aromatic Mist,Fairy,Status,0,0,20,Raises Special Defense of an ally.,Aromatic Mistraises the Special Defense of a teammate by one stage.,No,6,0
Assist,Normal,Status,0,0,20,User performs a move known by its allies at random.,Assistuses a random move known by any of the user's party Pokémon.,No,3,0
Assurance,Dark,Physical,60,100,10,Power doubles if opponent already took damage in the same turn.,"Assurancedeals damage, and if the target has already taken damage in this turn its power doubles to 120.",Yes,4,0
Astonish,Ghost,Physical,30,100,15,May cause flinching.,Astonishdeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,Yes,3,0
Astral Barrage,Ghost,Special,120,100,5,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,No,8,0
Attack Order,Bug,Physical,90,100,15,High critical hit ratio.,Attack Orderdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,No,4,0
Attract,Normal,Status,0,100,15,"If opponent is the opposite gender, it's less likely to attack.",Attractcauses Pokémon of the opposite gender to become infatuated. Infatuated Pokémon have a 50% chance of beingimmobilized by loveeach turn and unable to attack.,No,2,0
Aura Sphere,Fighting,Special,80,∞,20,Ignores Accuracy and Evasiveness.,"Aura Spheredeals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage ofBounce,Dig,Dive,Fly,Phantom Force,Shadow ForceorSky Drop.",No,4,0
Aura Wheel,Electric,Physical,110,100,10,Changes type based on Morpeko's Mode.,"Aura Wheeldeals damage and raises the user's Speed by one stage. It is the signature move ofMorpeko, and its type changes based on Morpeko's form:Electrictype in Full Belly Mode, orDarktype in Hangry Mode.",No,8,0
Aurora Beam,Ice,Special,65,100,20,May lower opponent's Attack.,Aurora Beamdeals damage and has a 10% chance of lowering the target's Attack by one stage.,No,1,0
Aurora Veil,Ice,Status,0,0,20,Halves damage from Physical and Special attacks for five turns.,"Aurora Veilhalves damage from Physical and Special attacks for five turns. It can only be used during hail or snow, but the effects continue if the weather changes or subsides.",No,7,0
Autotomize,Steel,Status,0,0,15,Reduces weight and sharply raises Speed.,Autotomizeraises the user's Speed by two stages and reduces its weight by 100kg (to a minimum of 0.1kg). Stats can be raised to a maximum of +6 stages each.,No,5,0
Avalanche,Ice,Physical,60,100,10,Power doubles if user took damage first.,"Power doubles if user took damage first.Z-Move effectsWhen a Pokémon is holdingIcium Zand uses its Z-Power,Avalancheturns intoSubzero Slammerand has base power120.",Yes,4,-4
Axe Kick,Fighting,Physical,120,90,10,"May confuse opponent. If it misses, the user loses HP.","May confuse opponent. If it misses, the user loses HP.",Yes,9,0
Baby-Doll Eyes,Fairy,Status,0,100,30,Always goes first. Lowers the target's attack.,"Baby-Doll Eyeslowers the target's Attack by one stage, with increased priority.",No,6,1
Baddy Bad,Dark,Special,90,100,15,Reduces damage from Physical attacks.,"Baddy Baddeals damage and reduces damage from Physical attacks by 50%, for 5 turns (similar toReflect).",No,7,0
Baneful Bunker,Poison,Status,0,0,10,Protects the user and poisons opponent on contact.,"Baneful Bunkerprevents any attacks targeted at the user from striking, for the duration of the turn. If a contact move is targeted at theBaneful Bunkeruser on that turn, the attacker becomes poisoned. It has priority +4 so will activate before most other moves.",No,7,4
Barb Barrage,Poison,Physical,60,100,10,May poison opponent; inflicts double damage if the target is already poisoned.,"Barb Barragedeals damage and has a 50% chance chance of poisoning the target. If the target is already poisoned, its power is doubled.",No,8,0
Barrage,Normal,Physical,15,85,20,Hits 2-5 times in one turn.,"Barragehits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.",No,1,0
Barrier,Psychic,Status,0,0,20,Sharply raises user's Defense.,Barrierraises the user's Defense by two stages.,No,1,0
Baton Pass,Normal,Status,0,0,40,User switches out and gives stat changes to the incoming Pokémon.,"Baton Passcauses the user to switch out for another Pokémon, passing any stat changes to the Pokémon that switches in. These effects are passed:",No,2,0
Beak Blast,Flying,Physical,100,100,15,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.","The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.Z-Move effectsWhen a Pokémon is holdingFlyinium Zand uses its Z-Power,Beak Blastturns intoSupersonic Skystrikeand has base power180.",No,7,-3
Beat Up,Dark,Physical,0,100,10,Each Pokémon in user's party attacks.,"Beat Updeals damage from each Pokémon on your team that does not have a status ailment (nor is fainted). Each strike has a differentbase power, calculated as:",No,2,0
Behemoth Bash,Steel,Physical,100,100,5,Damage doubles if target is Dynamaxed.,"Behemoth Bashdeals damage, and if the target is Dynamaxed its power doubles to 200.",Yes,8,0
Behemoth Blade,Steel,Physical,100,100,5,Damage doubles if target is Dynamaxed.,"Behemoth Bladedeals damage, and if the target is Dynamaxed its power doubles to 200.",Yes,8,0
Belch,Poison,Special,120,90,10,User must have consumed a Berry.,"Belchdeals damage, but only works if the user has previously consumed a Berry during the battle. Manually feeding a Berry from the bag does not count.",No,6,0
Belly Drum,Normal,Status,0,0,10,"User loses 50% of its max HP, but Attack raises to maximum.","User loses 50% of its max HP, but Attack raises to maximum.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Belly Drumturns intoZ-Belly Drumand fully restores the user's HP, in addition to its usual effect as above.",No,2,0
Bestow,Normal,Status,0,0,15,Gives the user's held item to the target.,Bestowgives the user's held item to the target.,No,5,0
Bide,Normal,Physical,0,0,10,User takes damage for two turns then strikes back double.,"The user ofBidestores energyfor 2 turns. At the end of the second turn the Pokémonunleashes energy, dealing twice the HP damage it received.",Yes,1,1
Bind,Normal,Physical,15,85,20,"Traps opponent, damaging them for 4-5 turns.","Bindinflicts damage on the first turn then traps the opponent, causing them to lose1⁄8of their maximum HP after each turn, for 4-5 turns.",Yes,1,0
Bite,Dark,Physical,60,100,25,May cause flinching.,Bitedeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,Yes,1,0
Bitter Blade,Fire,Physical,90,100,10,User recovers half the HP inflicted on opponent.,Bitter Bladedeals damage and the user will recover 50% of the damage taken by the target.,Yes,9,0
Bitter Malice,Ghost,Special,75,100,10,Lowers opponent's Attack.,Bitter Malicedeals damage and lowers the target's Attack by one stage.,No,8,0
Black Hole Eclipse,Dark,0,0,0,1,Dark type Z-Move.,"Black Hole Eclipseis the Dark type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Blast Burn,Fire,Special,150,90,5,User must recharge next turn.,"User must recharge next turn.Z-Move effectsWhen a Pokémon is holdingFirium Zand uses its Z-Power,Blast Burnturns intoInferno Overdriveand has base power200.",No,3,0
Blaze Kick,Fire,Physical,85,90,10,High critical hit ratio. May burn opponent.,Blaze Kickdeals damage and has a 10% chance of burning the target. It also has an increased critical hit ratio (1⁄8instead of1⁄24).,Yes,3,0
Blazing Torque,Fire,Physical,80,100,10,May burn the opponent.,Blazing Torquedeals damage and has a 30% chance of burning the target.,No,9,0
Bleakwind Storm,Flying,Special,100,80,10,May lower opponent's Speed.,Bleakwind Stormdeals damage and has a 30% chance of lowering the target's Speed by one stage. The move targets both opponents in a double battle (each with a 30% chance of lowering Speed).,No,8,0
Blizzard,Ice,Special,110,70,5,May freeze opponent.,Blizzarddeals damage and has a 10% chance of freezing the target. It will hit both opponents in a double battle or adjacent opponents in a triple battle.,No,1,0
Block,Normal,Status,0,0,5,Opponent cannot flee or switch.,"Opponent cannot flee or switch.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Blockturns intoZ-Blockand raises Defense one stage, in addition to its usual effect as above.",No,3,0
Blood Moon,Normal,Special,140,100,5,Cannot be used twice in a row.,The user unleashes the full brunt of its spirit from a full moon that shines as red as blood. This move can't be used twice in a row.,No,9,0
Bloom Doom,Grass,0,0,0,1,Grass type Z-Move.,"Bloom Doomis the Grass type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Blue Flare,Fire,Special,130,85,5,May burn opponent.,Blue Flaredeals damage and has a 20% chance of burning the target.,No,5,0
Body Press,Fighting,Physical,80,100,10,"The higher the user's Defense, the stronger the attack.","The higher the user's Defense, the stronger the attack.",Yes,8,0
Body Slam,Normal,Physical,85,100,15,May paralyze opponent.,Body Slamdeals damage and has a 30% chance of paralyzing the target.,Yes,1,0
Bolt Beak,Electric,Physical,85,100,10,"If the user attacks before the target, the power of this move is doubled.","If the user attacks before the target, the power of this move is doubled.",Yes,8,0
Bolt Strike,Electric,Physical,130,85,5,May paralyze opponent.,Bolt Strikedeals damage and has a 20% chance of paralyzing the target.,Yes,5,0
Bone Club,Ground,Physical,65,85,20,May cause flinching.,Bone Clubdeals damage and has a 10% chance of causing the target to flinch (if the target has not yet moved).,No,1,0
Bone Rush,Ground,Physical,25,90,10,Hits 2-5 times in one turn.,"Bone Rushhits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.",No,2,0
Bonemerang,Ground,Physical,50,90,10,Hits twice in one turn.,Bonemerangdeals damage and will strike twice (with 50 base power each time).,No,1,0
Boomburst,Normal,Special,140,100,10,Hits all adjacent Pokémon.,"Boomburstdeals massive damage and targets all adjacent Pokémon in battle, including allies.",No,6,0
Bounce,Flying,Physical,85,85,5,"Springs up on first turn, attacks on second. May paralyze opponent.","The user ofBouncewillspring upon the first turn, disappearing from view and becoming invulnerable to most attacks. On the second turn,Bouncedeals damage and has a 30% chance of paralyzing the target.",Yes,3,0
Bouncy Bubble,Water,Special,90,100,15,User recovers half the HP inflicted on opponent.,Bouncy Bubbledeals damage and heals the user for half the damage dealt to the opponent.,No,7,0
Branch Poke,Grass,Physical,40,100,40,,Branch Poke has no added effects.,Yes,8,0
Brave Bird,Flying,Physical,120,100,15,User receives recoil damage.,"Brave Birddeals damage, but the user receives1⁄3of the damage it inflicted in recoil. In other words, if the attack does 90 HP damage to the opponent, the user will lose 30 HP.",Yes,4,0
Breaking Swipe,Dragon,Physical,60,100,15,Hits multiple opponents and lowers their attack.,Hits multiple opponents and lowers their attack.							(100% chance),Yes,8,0
Breakneck Blitz,Normal,0,0,0,1,Normal type Z-Move.,"Breakneck Blitzis the Normal type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Brick Break,Fighting,Physical,75,100,15,Breaks through Reflect and Light Screen barriers.,"Brick Breakdeals damage, but removes the effects ofReflectandLight Screenbefore attacking.",Yes,3,0
Brine,Water,Special,65,100,10,Power doubles if opponent's HP is less than 50%.,"Power doubles if opponent's HP is less than 50%.Z-Move effectsWhen a Pokémon is holdingWaterium Zand uses its Z-Power,Brineturns intoHydro Vortexand has base power120.",No,4,0
Brutal Swing,Dark,Physical,60,100,20,The user swings its body around violently to inflict damage on everything in its vicinity.,"The user swings its body around violently to inflict damage on everything in its vicinity.Z-Move effectsWhen a Pokémon is holdingDarkinium Zand uses its Z-Power,Brutal Swingturns intoBlack Hole Eclipseand has base power120.",Yes,7,0
Bubble,Water,Special,40,100,30,May lower opponent's Speed.,Bubbledeals damage and has a 10% chance of lowering the target's Speed by one stage.,No,1,0
Bubble Beam,Water,Special,65,100,20,May lower opponent's Speed.,Bubble Beamdeals damage and has a 10% chance of lowering the target's Speed by one stage.,No,1,0
Bug Bite,Bug,Physical,60,100,20,Receives the effect from the opponent's held berry.,"Bug Bitedeals damage, and if the target is holding a Berry, the user eats it and gains its effect. For example, if the target is holding a Sitrus Berry the user will recover1⁄4of its HP.",Yes,4,0
Bug Buzz,Bug,Special,90,100,10,May lower opponent's Special Defense.,Bug Buzzdeals damage and has a 10% chance of lowering the target's Special Defense by one stage.,No,4,0
Bulk Up,Fighting,Status,0,0,20,Raises user's Attack and Defense.,Bulk Upraises the user's Attack and Defense by one stage each.,No,3,0
Bulldoze,Ground,Physical,60,100,20,Lowers opponent's Speed.,Bulldozedeals damage and lowers the target's Speed by one stage.,No,5,0
Bullet Punch,Steel,Physical,40,100,30,User attacks first.,Bullet Punchdeals damage and has a priority of +1.,Yes,4,1
Bullet Seed,Grass,Physical,25,100,30,Hits 2-5 times in one turn.,"Bullet Seedhits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.",No,3,0
Burn Up,Fire,Special,130,100,5,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.","To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.Z-Move effectsWhen a Pokémon is holdingFirium Zand uses its Z-Power,Burn Upturns intoInferno Overdriveand has base power195.",No,7,0
Burning Bulwark,Fire,Status,0,∞,10,,The user’s intensely hot fur protects it from attacks and also burns any attacker that makes direct contact with it.,No,9,0
Burning Jealousy,Fire,Special,70,100,5,"Hits all opponents, and burns any that have had their stats boosted.","Hits all opponents, and burns any that have had their stats boosted.",No,8,0
Buzzy Buzz,Electric,Special,90,100,15,Paralyzes the opponent.,Buzzy Buzzdeals damage and paralyzes the target.,No,7,0
Calm Mind,Psychic,Status,0,0,20,Raises user's Special Attack and Special Defense.,Calm Mindraises the user's Special Attack and Special Defense by one stage each.,No,3,0
Camouflage,Normal,Status,0,0,20,Changes user's type according to the location.,Camouflagecauses the user to change its type based on the current terrain:,No,3,0
Captivate,Normal,Status,0,100,20,Sharply lowers opponent's Special Attack if opposite gender.,"Captivatelowers the Special Attack of the target by two stages, if they are of the opposite gender to the user. Stats can be lowered to a minimum of -6 stages each.",No,4,0
Catastropika,Electric,Physical,210,0,1,Pikachu-exclusive Z-Move.,Catastropikais a Z-Move exclusive to Pikachu. It can only be used withVolt Tackle.,Yes,7,0
Ceaseless Edge,Dark,Physical,65,90,15,Sets up Spikes.,"Ceaseless Edgedeals damage and lays a trap of thorns on the opposing field, likeSpikes, which damage opponents switching into battle.",Yes,8,0
Celebrate,Normal,Status,0,0,40,The Pokémon congratulates you on your special day. No battle effect.,"The Pokémon congratulates you on your special day. No battle effect.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Celebrateturns intoZ-Celebrateand raises all stats one stage each, in addition to its usual effect as above.",No,6,0
Charge,Electric,Status,0,0,20,Raises user's Special Defense and next Electric move's power increases.,"Chargeraises the user's Special Defense by one stage, and if this Pokémon's next move is a damage-dealing Electric-type attack, it will deal double damage.",No,3,0
Charge Beam,Electric,Special,50,90,10,May raise user's Special Attack.,Charge Beamdeals damage and has a 70% chance of raising the user's Special Attack by one stage.,No,4,0
Charm,Fairy,Status,0,100,20,Sharply lowers opponent's Attack.,Charmlowers the target's Attack by two stages.,No,2,0
Chatter,Flying,Special,65,100,20,Confuses opponent.,"Chatterdeals damage and causes the target to become confused. Confused Pokémon have a 33% chance of hurting themselves each turn, for 1-4 attacking turns (50% chance inGenerations 1-6). The damage received is as if the Pokémon attacks itself with a typeless 40 base power Physical attack.",No,4,0
Chilling Water,Water,Special,50,100,20,Lowers opponent's Attack.,Lowers opponent's Attack.,No,9,0
Chilly Reception,Ice,Status,0,0,10,Switches out and summons a snowstorm lasting 5 turns.,Switches out and summons a snowstorm lasting 5 turns.,No,9,0
Chip Away,Normal,Physical,70,100,20,Ignores opponent's stat changes.,"Chip Awaydeals damage, but ignores changes to the target's stats (i.e. Defense and Evasion in this case).",Yes,5,0
Chloroblast,Grass,Special,150,95,5,User receives recoil damage.,"Chloroblastdeals damage, but the user loses1⁄2of its maximum HP.",No,8,0
Circle Throw,Fighting,Physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs.","In battles, the opponent switches. In the wild, the Pokémon runs.Z-Move effectsWhen a Pokémon is holdingFightinium Zand uses its Z-Power,Circle Throwturns intoAll-Out Pummelingand has base power120.",Yes,5,-6
Clamp,Water,Physical,35,85,15,"Traps opponent, damaging them for 4-5 turns.","Clampinflicts damage on the first turn then traps the opponent, causing them to lose1⁄8of their maximum HP after each turn, for 4-5 turns.",Yes,1,0
Clanging Scales,Dragon,Special,110,100,5,Lowers user's Defense.,Clanging Scalesdeals damage but lowers the user's Defense by one stage after attacking.,No,7,0
Clangorous Soul,Dragon,Status,0,100,5,Raises all user's stats but loses HP.,Raises all user's stats but loses HP.							(100% chance),No,8,0
Clangorous Soulblaze,Dragon,Special,185,0,1,Kommo-o exclusive Z-Move.,"Clangorous Soulblazeis a Dragon type Z-Move exclusive toKommo-o, introduced inPokémon Ultra Sun & Ultra Moon. It is used withClanging Scales.",No,7,0
Clear Smog,Poison,Special,50,0,15,Removes all of the target's stat changes.,"Removes all of the target's stat changes.Z-Move effectsWhen a Pokémon is holdingPoisonium Zand uses its Z-Power,Clear Smogturns intoAcid Downpourand has base power100.",No,5,0
Close Combat,Fighting,Physical,120,100,5,Lowers user's Defense and Special Defense.,Close Combatdeals damage but lowers the user's Defense and Special Defense by one stage each after attacking.,Yes,4,0
Coaching,Fighting,Status,0,0,10,Boosts Attack and Defense of a teammate.,"The user properly coaches its ally Pokémon, boosting their Attack and Defense stats.",No,8,0
Coil,Poison,Status,0,0,20,"Raises user's Attack, Defense and Accuracy.","Coilraises the user's Attack, Defense and Accuracy by one stage each.",No,5,0
Collision Course,Fighting,Physical,100,100,5,Boosted even more if it's super-effective.,Boosted even more if it's super-effective.,Yes,9,0
Combat Torque,Fighting,Physical,100,100,10,May paralyze the opponent.,Combat Torquedeals damage and has a 30% chance of paralyzing the target.,No,9,0
Comet Punch,Normal,Physical,18,85,15,Hits 2-5 times in one turn.,"Comet Punchhits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.",Yes,1,0
Comeuppance,Dark,Physical,0,100,10,Deals more damage to the opponent that last inflicted damage on it.,Deals more damage to the opponent that last inflicted damage on it.,Yes,9,0
Confide,Normal,Status,0,0,20,Lowers opponent's Special Attack.,Confidelowers the target's Special Attack by one stage.,No,6,0
Confuse Ray,Ghost,Status,0,100,10,Confuses opponent.,"Confuse Raycauses the target to become confused. Confused Pokémon have a 33% chance of hurting themselves each turn, for 1-4 attacking turns (50% chance inGenerations 1-6). The damage received is as if the Pokémon attacks itself with a typeless 40 base power Physical attack.",No,1,0
Confusion,Psychic,Special,50,100,25,May confuse opponent.,Confusiondeals damage and has a 10% chance ofconfusingthe target.,No,1,0
Constrict,Normal,Physical,10,100,35,May lower opponent's Speed by one stage.,Constrictdeals damage and has a 10% chance of lowering the target's Speed by one stage.,Yes,1,0
Continental Crush,Rock,0,0,0,1,Rock type Z-Move.,"Continental Crushis the Rock type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Conversion,Normal,Status,0,0,30,Changes user's type to that of its first move.,Conversionchanges the user's type to the same type as the first move in the Pokémon's move list.,No,1,0
Conversion 2,Normal,Status,0,0,30,User changes type to become resistant to opponent's last move.,"Conversion 2changes the user's type to one that is resistant (or immune) to the last move used by the target, randomly.",No,2,0
Copycat,Normal,Status,0,0,20,Copies opponent's last move.,"Copies opponent's last move.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Copycatturns intoZ-Copycatand raises Accuracy one stage, in addition to its usual effect as above.",No,4,0
Core Enforcer,Dragon,Special,100,100,10,Suppresses the target's ability if the target has already moved.,"Core Enforcerdeals damage, and if the target has already moved this turn, suppresses the target's ability while it remains in battle.",No,7,0
Corkscrew Crash,Steel,0,0,0,1,Steel type Z-Move.,"Corkscrew Crashis the Steel type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Corrosive Gas,Poison,Status,0,100,40,Removes opponent's items.,The user surrounds everything around it with highly acidic gas and melts away items they hold.,No,8,0
Cosmic Power,Psychic,Status,0,0,20,Raises user's Defense and Special Defense.,Cosmic Powerraises the user's Defense and Special Defense by one stage each.,No,3,0
Cotton Guard,Grass,Status,0,0,10,Drastically raises user's Defense.,Cotton Guardraises the user's Defense by three stages.,No,5,0
Cotton Spore,Grass,Status,0,100,40,Sharply lowers opponent's Speed.,Cotton Sporelowers the target's Speed by two stages.,No,2,0
Counter,Fighting,Physical,0,100,20,"When hit by a Physical Attack, user strikes back with 2x power.","When hit by a Physical Attack, user strikes back with 2x power.Z-Move effectsWhen a Pokémon is holdingFightinium Zand uses its Z-Power,Counterturns intoAll-Out Pummelingand has base power100.",Yes,1,-5
Court Change,Normal,Status,0,100,10,Swaps the effects on either side of the field.,Swaps the effects on either side of the field.,No,8,0
Covet,Normal,Physical,60,100,25,Opponent's item is stolen by the user.,"Covetdeals damage and steals the target's held item, if the user is not already holding an item.",Yes,3,0
Crabhammer,Water,Physical,100,90,10,High critical hit ratio.,Crabhammerdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,Yes,1,0
Crafty Shield,Fairy,Status,0,0,10,Protects the Pokémon from status moves.,"Crafty Shieldprotects the user's team from any Status category move targeted at them, for the duration of the turn. It has priority +3 so will activate before most other moves.",No,6,3
Cross Chop,Fighting,Physical,100,80,5,High critical hit ratio.,Cross Chopdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,Yes,2,0
Cross Poison,Poison,Physical,70,100,20,High critical hit ratio. May poison opponent.,Cross Poisondeals damage and has a 10% chance of poisoning the target. It also has an increased critical hit ratio (1⁄8instead of1⁄24).,Yes,4,0
Crunch,Dark,Physical,80,100,15,May lower opponent's Defense.,Crunchdeals damage and has a 20% chance of lowering the target's Defense by one stage.,Yes,2,0
Crush Claw,Normal,Physical,75,95,10,May lower opponent's Defense.,Crush Clawdeals damage and has a 50% chance of lowering the target's Defense by one stage.,Yes,3,0
Crush Grip,Normal,Physical,0,100,5,More powerful when opponent has higher HP.,Crush Gripinflicts more damage when the opponent's HP is higher. At full HP its base power is120and it decreases in proportion - i.e. the power is:,Yes,4,0
Curse,Ghost,Status,0,0,10,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",Curseis a unique move that works differently forGhost-type Pokémon than other Pokémon.,No,2,0
Cut,Normal,Physical,50,95,30,,Cutdeals damage with no additional effect in battle.,Yes,1,0
Dark Pulse,Dark,Special,80,100,15,May cause flinching.,Dark Pulsedeals damage and has a 20% chance of causing the target to flinch (if the target has not yet moved).,No,4,0
Dark Void,Dark,Status,0,50,10,Puts all adjacent opponents to sleep.,Dark Voidputs the target(s) to sleep. It can only be used byDarkrai.,No,4,0
Darkest Lariat,Dark,Physical,85,100,10,Ignores opponent's stat changes.,"Darkest Lariatdeals damage, but ignores changes to the target's stats (i.e. Defense and Evasion in this case).",Yes,7,0
Dazzling Gleam,Fairy,Special,80,100,10,Hits all adjacent opponents.,Dazzling Gleamdeals damage and hits all adjacent opponents in double/triple battles.,No,6,0
Decorate,Fairy,Status,0,0,15,Sharply raises target's Attack and Special Attack.,Sharply raises target's Attack and Special Attack.							(100% chance),No,8,0
Defend Order,Bug,Status,0,0,10,Raises user's Defense and Special Defense.,Defend Orderraises the user's Defense and Special Defense by one stage each.,No,4,0
Defense Curl,Normal,Status,0,0,40,Raises user's Defense.,Defense Curlraises the user's Defense by one stage. Stats can be raised to a maximum of +6 stages each.,No,1,0
